"Año";"Periodo";"Parámetro";"Infracciones penales registradas"
"2020";"Trimestre 3";"Andalucía";"3.456"
"2020";"Trimestre 3";"Aragón";"222"
"2020";"Trimestre 3";"Asturias";"137"
"2020";"Trimestre 3";"Canarias";"458"
"2020";"Trimestre 3";"Cantabria";"78"
"2020";"Trimestre 3";"Castilla y León";"370"
"2020";"Trimestre 3";"Castilla-La Mancha";"410"
"2020";"Trimestre 3";"Cataluña";"2.247"
"2020";"Trimestre 3";"Ceuta";"184"
"2020";"Trimestre 3";"Comunidad Valenciana";"1.412"
"2020";"Trimestre 3";"Extremadura";"226"
"2020";"Trimestre 3";"Galicia";"413"
"2020";"Trimestre 3";"Islas Baleares";"347"
"2020";"Trimestre 3";"La Rioja";"58"
"2020";"Trimestre 3";"Madrid";"1.711"
"2020";"Trimestre 3";"Melilla";"125"
"2020";"Trimestre 3";"Murcia";"296"
"2020";"Trimestre 3";"Navarra";"109"
"2020";"Trimestre 3";"País Vasco";"388"
;;
;;
"Métrica":"Infracciones penales registradas"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/mapa-delitos-registrados-trafico-drogas/dda48cb5-9d21-40fa-9d10-8564ad2e7889"
"Titulo":"Mapa de delitos registrados por tráfico de drogas"
"Subtitulo":""
