ARTISTA;ID;nacimiento;instrumento;Lugar;lat;lon;D1;D2;singles;degree1;degree2;CVPl1;CVPl2;CVPBI
Fletcher Henderson;66;1897;piano;Georgia;31.772469;-84.793481;2;9;15;6;4;0.080752;0.000254;0.102392
Sonny Rollins;67;1930;saxo;New York city;40.758804;-73.984741;103;31;47;12;16;0.100452;0.258306;0.197234
Sonny Stitt;68;1924;saxo;Massachusetts;42.357879;-71.068377;171;24;78;11;28;0.124375;0.977196;0.320762
Stan Getz;69;1927;saxo;Pennsylvania;39.945401;-75.151710;181;105;135;20;31;0.246832;0.835160;0.423175
Art Tatum;70;1909;piano;Ohio;41.655122;-83.537754;126;34;108;6;8;0.129773;0.010290;0.207813
Teddy Wilson;71;1912;piano;Texas;30.282718;-97.738326;103;27;56;18;13;0.232958;0.057073;0.319262
Clark Terry;72;1920;trompeta;Missouri;38.645672;-90.199869;136;30;25;14;24;0.224492;0.764596;0.401614
Tony Bennett;73;1926;singer;New York city;40.758804;-73.984741;123;105;240;8;31;0.088067;0.871672;0.301548
Dinah Washington;74;1924;singer;Alabama;33.206989;-87.578014;58;57;164;6;28;0.105916;0.977196;0.356948
Wes Montgomery;75;1923;guitarra;Indiana;39.771115;-86.155156;70;43;33;5;29;0.032566;1.023736;0.303567
